CMDLINE python example_L2T_STARS_with_download.py
MEM 1506.625000 1733253997.2539
MEM 1506.625000 1733253997.3592
MEM 1506.812500 1733253997.4601
MEM 1506.812500 1733253997.5611
MEM 1506.812500 1733253997.6644
MEM 1507.562500 1733253997.7697
MEM 1507.562500 1733253997.8747
MEM 1507.562500 1733253997.9794
MEM 1507.562500 1733253998.0800
MEM 1507.562500 1733253998.1854
MEM 1507.562500 1733253998.2875
MEM 1507.562500 1733253998.3929
MEM 1507.562500 1733253998.4954
MEM 1507.562500 1733253998.6006
MEM 1511.468750 1733253998.7039
MEM 1511.593750 1733253998.8085
MEM 1511.593750 1733253998.9126
MEM 1511.765625 1733253999.0178
MEM 1511.765625 1733253999.1230
MEM 1511.765625 1733253999.2307
MEM 1511.765625 1733253999.3360
MEM 1511.765625 1733253999.4396
MEM 1511.765625 1733253999.5449
MEM 1511.765625 1733253999.6490
MEM 1511.765625 1733253999.7542
MEM 1511.765625 1733253999.8570
MEM 1514.718750 1733253999.9614
MEM 1514.968750 1733254000.0666
MEM 1514.968750 1733254000.1718
MEM 1514.968750 1733254000.2770
MEM 1514.968750 1733254000.3776
MEM 1514.968750 1733254000.4829
MEM 1514.968750 1733254000.5881
MEM 1514.968750 1733254000.6933
MEM 1514.968750 1733254000.7986
MEM 1514.968750 1733254000.8997
MEM 1514.968750 1733254001.0050
MEM 1514.968750 1733254001.1084
MEM 1514.968750 1733254001.2114
MEM 1514.968750 1733254001.3168
MEM 1514.968750 1733254001.4190
MEM 1514.968750 1733254001.5243
MEM 1514.968750 1733254001.6278
MEM 1514.968750 1733254001.7330
MEM 1514.968750 1733254001.8376
MEM 1514.968750 1733254001.9389
MEM 1514.968750 1733254002.0441
MEM 1521.078125 1733254002.1463
MEM 1521.343750 1733254002.2516
MEM 1521.343750 1733254002.3552
MEM 1521.812500 1733254002.4601
MEM 1521.828125 1733254002.5653
MEM 1521.843750 1733254002.6705
MEM 1521.843750 1733254002.7729
MEM 1521.843750 1733254002.8754
MEM 1521.843750 1733254002.9783
MEM 1521.843750 1733254003.0825
MEM 1521.843750 1733254003.1888
MEM 1521.843750 1733254003.2914
MEM 1521.843750 1733254003.3923
MEM 1521.843750 1733254003.4972
MEM 1524.781250 1733254003.6024
MEM 1525.031250 1733254003.7075
MEM 1525.031250 1733254003.8128
MEM 1525.031250 1733254003.9180
MEM 1525.031250 1733254004.0232
MEM 1525.031250 1733254004.1284
MEM 1525.031250 1733254004.2297
MEM 1525.046875 1733254004.3350
MEM 1532.734375 1733254004.4402
MEM 1532.734375 1733254004.5452
MEM 1532.734375 1733254004.6504
MEM 1532.734375 1733254004.7556
MEM 1532.734375 1733254004.8608
MEM 1532.734375 1733254004.9646
MEM 1532.734375 1733254005.0676
MEM 1532.734375 1733254005.1689
MEM 1532.734375 1733254005.2694
MEM 1532.734375 1733254005.3737
MEM 1532.734375 1733254005.4784
MEM 1532.734375 1733254005.5837
MEM 1534.062500 1733254005.6889
MEM 1538.984375 1733254005.7941
MEM 1538.984375 1733254005.8993
MEM 1538.984375 1733254006.0110
MEM 1538.984375 1733254006.1171
MEM 1538.984375 1733254006.2212
MEM 1538.984375 1733254006.3239
MEM 1538.984375 1733254006.4308
MEM 1538.984375 1733254006.5318
MEM 1538.984375 1733254006.6372
MEM 1538.984375 1733254006.7423
MEM 1538.984375 1733254006.8461
MEM 1538.984375 1733254006.9513
MEM 1541.921875 1733254007.0533
MEM 1542.171875 1733254007.1540
MEM 1542.171875 1733254007.2574
MEM 1541.859375 1733254007.3628
MEM 1541.750000 1733254007.4680
MEM 1541.750000 1733254007.5732
MEM 1541.750000 1733254007.6784
MEM 1542.156250 1733254007.7836
MEM 1542.156250 1733254007.8887
MEM 1542.156250 1733254007.9939
MEM 1542.156250 1733254008.0946
MEM 1542.171875 1733254008.1998
MEM 1542.171875 1733254008.3041
MEM 1542.171875 1733254008.4094
MEM 1542.171875 1733254008.5111
MEM 1542.171875 1733254008.6145
MEM 1542.171875 1733254008.7180
MEM 1542.171875 1733254008.8232
MEM 1542.171875 1733254008.9284
MEM 1542.171875 1733254009.0341
MEM 1542.171875 1733254009.1377
MEM 1542.171875 1733254009.2422
MEM 1542.765625 1733254009.3443
MEM 1542.937500 1733254009.4457
MEM 1542.937500 1733254009.5509
MEM 1542.937500 1733254009.6561
MEM 1542.937500 1733254009.7613
MEM 1542.937500 1733254009.8666
MEM 1542.937500 1733254009.9676
MEM 1542.937500 1733254010.0728
MEM 1542.937500 1733254010.1781
MEM 1542.937500 1733254010.2789
MEM 1542.937500 1733254010.3826
MEM 1542.937500 1733254010.4870
MEM 1542.937500 1733254010.5923
MEM 1542.921875 1733254010.6960
MEM 1542.921875 1733254010.8012
MEM 1542.921875 1733254010.9064
MEM 1542.921875 1733254011.0094
MEM 1542.921875 1733254011.1146
MEM 1542.921875 1733254011.2198
MEM 1542.921875 1733254011.3212
MEM 1542.921875 1733254011.4264
MEM 1542.921875 1733254011.5316
MEM 1542.921875 1733254011.6368
MEM 1542.921875 1733254011.7370
MEM 1542.921875 1733254011.8422
MEM 1542.921875 1733254011.9474
MEM 1542.921875 1733254012.0492
MEM 1542.921875 1733254012.1545
MEM 1542.921875 1733254012.2597
MEM 1542.921875 1733254012.3630
MEM 1542.921875 1733254012.4645
MEM 1542.921875 1733254012.5697
MEM 1542.921875 1733254012.6750
MEM 1542.921875 1733254012.7802
MEM 1542.921875 1733254012.8854
MEM 1542.921875 1733254012.9865
MEM 1542.921875 1733254013.0918
MEM 1542.921875 1733254013.1971
MEM 1542.921875 1733254013.2975
MEM 1645.125000 1733254013.3980
MEM 1851.234375 1733254013.4992
MEM 2053.937500 1733254013.6036
MEM 2053.937500 1733254013.7075
MEM 2053.937500 1733254013.8093
MEM 2053.937500 1733254013.9107
MEM 2053.937500 1733254014.0159
MEM 2053.937500 1733254014.1207
MEM 2053.937500 1733254014.2259
MEM 2053.937500 1733254014.3286
MEM 2058.437500 1733254014.4296
MEM 2058.640625 1733254014.5348
MEM 2058.640625 1733254014.6401
MEM 2058.734375 1733254014.7452
MEM 2058.734375 1733254014.8504
MEM 2058.734375 1733254014.9562
MEM 2058.734375 1733254015.0582
MEM 2058.734375 1733254015.1622
MEM 2058.734375 1733254015.2643
MEM 2058.734375 1733254015.3656
MEM 2058.734375 1733254015.4675
MEM 2058.734375 1733254015.5738
MEM 2059.296875 1733254015.6790
MEM 2059.281250 1733254015.7825
MEM 2059.281250 1733254015.8878
MEM 2059.281250 1733254015.9930
MEM 2059.281250 1733254016.0983
MEM 2059.281250 1733254016.2035
MEM 2059.281250 1733254016.3088
